,Title,1st_topic,1st_topic_percentage,2nd_topic,2nd_topic_percentage
260,Prediction of Gross Domestic Product (GDP) in Indonesia Using Deep Learning Algorithm,4.0,22.79,6.0,21.24
261,Measuring Instagram Activity and Engagement Rate of Hospital: A Comparison before and during COVID-19 Pandemic,6.0,25.04,4.0,20.53
262,A Modified Deep Convolutional Network for COVID-19 detection based on chest X-ray images,1.0,43.64,4.0,11.33
263,Classification of Customer Actions on Digital Money Transactions on PaySim Mobile Money Simulator using Probabilistic Neural Network (PNN) Algorithm,6.0,29.27,1.0,21.73
264,Development of the Personnel Monitoring System Using Mobile Application and Real-Time Database during the COVID19 Pandemic,3.0,37.77,4.0,15.56
265,COVID-19 Chest X-Ray Classification Using Convolutional Neural Network Architectures,1.0,35.83,4.0,20.1
266,Proximity-Based COVID-19 Contact Tracing System Devices for Locally Problems Solution,3.0,38.96,4.0,16.74
267,Machine Learning Algorithms for Forecasting COVID 19 Confirmed Cases in America,4.0,34.71,1.0,26.86
268,DeepDive: Examining determinants of health disparities in COVID-19 for improving pandemic health care,6.0,33.9,2.0,17.39
269,A Data Driven Decision Making and Contract Tracing App for Organizations to Combat COVID-19,4.0,27.17,3.0,16.58
270,"""do It Yourself"" Product Scanning System for Supermarket Customers with Anti-Theft Feature: A Proposed Model",3.0,24.2,6.0,21.89
271,Empirical model for short-time prediction of COVID-19 spreading,4.0,40.13,2.0,17.18
272,Development of IoMT Device for Mobile Eye Examination Via Cloud-based TeleOphthalmology,3.0,41.4,1.0,12.96
273,Impact of the COVID-19 pandemic on the Internet latency: A large-scale study,4.0,26.37,6.0,19.33
274,Visualization of contributions to open-source projects,5.0,21.82,6.0,16.75
275,Leveraging aesthetic expression in visualization to communicate positive facts during COVID-19 pandemic,5.0,26.58,6.0,18.65
276,Targeting TMPRSS2 and Cathepsin B/L together may be synergistic against SARSCoV- 2 infection,2.0,65.22,4.0,9.53
277,"COVID19 Tracking: An Interactive Tracking, Visualizing and Analyzing Platform",4.0,30.95,5.0,23.05
278,Unsupervised and Interpretable Domain Adaptation to Rapidly Filter Tweets for Emergency Services,5.0,30.1,1.0,29.42
279,A Census of Swedish Government Administrative Authority Employee Communications on Cybersecurity during the COVID-19 Pandemic,6.0,33.22,0.0,21.49
280,Analysis and Prediction of COVID-19 Timeline and Infection Rates,4.0,51.29,5.0,12.62
281,Investigating Side Effects of Existing Drugs Used in Covid-19 Treatment,2.0,36.34,4.0,17.88
282,Online feelings and sentiments across Italy during pandemic: Investigating the influence of socio-economic and epidemiological variables,5.0,27.54,6.0,23.02
283,Analysis of COVID-19 Mitigation Measures on a Small Liberal Arts College Network,0.0,28.63,5.0,14.92
284,An Interactive Platform to Track Global COVID-19 Epidemic,4.0,26.98,5.0,22.77
285,On Sentiment of Online Fake News,5.0,40.73,6.0,14.1
286,A First Look at COVID-19 Messages on WhatsApp in Pakistan,5.0,31.63,6.0,17.51
287,Mobility Based SIR Model for Pandemics - With Case Study of COVID-19,4.0,31.53,3.0,18.18
288,"Approaches for Quantifying Video Prominence, Narratives, Discussion: Engagement on COVID-19 Related YouTube Videos",5.0,21.31,4.0,20.12
289,The Ivory Tower Lost: How College Students Respond Differently than the General Public to the COVID-19 Pandemic,5.0,24.88,6.0,23.85
290,"Understanding Public Sentiments, Opinions and Topics about COVID-19 using Twitter",5.0,34.08,6.0,19.42
291,Feature extraction with triplet loss to classify disease on leaf data,1.0,37.35,6.0,13.39
292,Social media mining with dynamic clustering: A case study by COVID-19 Tweets,5.0,41.49,6.0,14.23
293,Immersive Interactive Technology: A Case Study of a Wine Farm,0.0,22.94,3.0,21.6
294,Analysis on the Social and Economic Impacts of Internet Platforms : (Based on Survey Data from WeChat (China) during 2019-2020),6.0,40.38,5.0,12.56
295,5G Healthcare Applications in COVID-19 Prevention and Control,3.0,26.67,4.0,17.65
296,In silico mutagenesis of human ACE2 with S protein and translational efficiency explain SARS-CoV-2 infectivity in different species,2.0,60.67,4.0,11.17
297,The possibility and importance of immersive technologies during COVID-19 for autistic people,6.0,23.36,0.0,19.92
298,Whither plagiarism in distance learning academic assessment during COVID-19?,0.0,41.6,6.0,13.36
299,Challenges and perceptions of e-learning among students in a private institution: A case study in Malaysia,0.0,45.44,3.0,12.4
300,Crossing borders: Virtual learning on the u.s.-mexico border,6.0,24.8,0.0,20.99
301,Assessing the impact of alternative evaluation procedures associated to confinement in the context of a computer engineering course,0.0,35.86,1.0,14.22
302,The integration of augmented reality (AR) in learning environment,0.0,40.59,3.0,12.1
303,Training STEAM educators in the COVID-19 emergency situation: Redesigning teaching,0.0,50.37,5.0,11.85
304,Meeting school leadership challenges of online education with design thinking during COVID-19,0.0,36.26,3.0,14.51
305,Assessing the impact of network performance on popular e-learning applications,0.0,24.27,1.0,22.19
306,A detailed study of effective online technical teaching aids for augmented learning in COVID-19 pandemic,0.0,31.86,5.0,14.41
307,24for24: A virtual summer bridge program in multiple 24-minute sessions for the collegiate class of 2024,0.0,50.57,4.0,10.83
308,Enabling future e-learning ecosystem through design of internet-enabled smart tablet devices,3.0,33.13,0.0,19.58
309,Online teaching at Egyptian private universities during COVID 19: Lessons learned,0.0,41.31,5.0,16.43
310,Towards the provision of effective interaction in post Covid-19 e-learning contexts: Enhancing e-interactions on the LMS’s discussion boards,0.0,37.88,5.0,16.95
311,Augmented reality in remote learning: A proposed transformative approach for building construction education,0.0,36.93,3.0,21.19
312,Are hackathons the new e-learning environments? On the outcome of the #wirvsvirus Hackathon from a learning outcome perspective,0.0,30.52,5.0,18.23
313,Promoting quality e-learning during the COVID-19 pandemic via an award-winning webinar series for faculty transitioning to teaching online,0.0,34.91,3.0,13.54
314,The impact of group discussion in online teaching to enhance student learning in some Arabic and Islamic courses,0.0,55.43,6.0,12.13
315,The influence of youtube videos on ELA during the COVID-19 outbreaks in Jordan,6.0,31.69,0.0,20.88
316,"University teaching as formation: Modern Arabic poetry course 445, as an example",0.0,36.72,5.0,23.19
317,A web-based aircraft maintenance learning media to support learning process in aerospace engineering education during the COVID-19 pandemic,0.0,31.75,5.0,17.8
318,E-learning in time of COVID-19 pandemic: Challenges & experiences,0.0,30.6,6.0,16.34
319,Coping with the challenges posed by virtual learning environment,0.0,47.11,5.0,10.21
320,Remote implementation of microcomputers laboratory practices: A case study,0.0,46.71,3.0,13.38
321,An overview of logistics and supply chain studies during Covid-19: Perspective from the higher educational institutions,0.0,32.17,6.0,20.98
322,Using Mashup and web 2.0 to foster inquiry-based flipped classroom in online teaching of technical curriculum: A case study,0.0,47.11,5.0,12.95
323,Telecollaboration in emergency remote language learning and teaching,0.0,49.48,6.0,12.77
324,The perceived enjoyment of the online courses in digital transformation age: The uses - gratification theory approach,0.0,28.48,6.0,22.91
325,"Identifying the drivers in the adoption of technology in online teaching, learning and assessment of an undergraduate architectural program",0.0,34.39,6.0,22.31
326,The reporting of technological readiness of higher education institutions in GCC countries: A situational analysis of COVID-19 crisis,0.0,30.84,6.0,19.59
327,The future of the transition to e-learning and distance learning using artificial intelligence,0.0,35.23,3.0,17.15
328,"Distance learning and its effectiveness in improving literacy, education and skills development for remote population and for overcoming the challenges of COVID 19",0.0,40.04,6.0,17.01
329,Video-based analysis of pre-service primary bilingual teachers’ perceptions about the inclusion of gender and LGBT+ issues in the EFL classroom,0.0,33.76,6.0,24.65
330,Sustaining higher education through Elearning in post COVID-19,0.0,42.13,6.0,16.25
331,"Readiness, challenges, and satisfaction in the new paradigm of teaching and learning: An E-learning evaluation",0.0,56.23,6.0,15.37
332,Understanding challenges faced in online teaching and learning among Malaysian universities’ instructors during COVID-19 pandemic,0.0,39.17,3.0,14.77
333,Analysis of the Impact of Pneumonia Epidemic on Employment and Countermeasures in COVID-19 from the Perspective of International Comparison,6.0,26.29,4.0,24.12
334,Work Measures and Management Strategies of Wuhan Fast Food Snack Returning to Work under Epidemic Situation,6.0,28.43,4.0,19.03
335,Research on the Reform Path of the Class Teaching Informatization in Post-Epidemic Period: Based on the Analysis of Teachers' Interactive Behavior in the Online Teaching during the COVID-19 Epidemic Period in W University,0.0,32.11,5.0,22.48
336,Design considerations for robot partner system based on modular structure,3.0,26.53,6.0,22.22
337,Measuring effective scheduling interval against VM load with rapid elasticity in cloud computing,3.0,48.7,1.0,10.07
338,Sentiment and emotion in social media covid-19 conversations: SAB-LSTM approach,5.0,36.01,1.0,18.83
339,Review paper for detection of COVID-19 from medical images and/ or symptoms of patient using machine learning approaches,1.0,30.13,4.0,20.83
340,Securely work from home with CASB policies under covid-19 pandemic: A short review,3.0,33.23,6.0,25.98
341,Internet of things based flexible architectures for public distribution system in lockdown situations,3.0,29.89,4.0,19.53
342,A comprehensive survey of IT sectors affected by covid-19,4.0,24.09,6.0,21.74
343,A comparative study of implementing innovation in education sector due to COVID-19,0.0,29.53,6.0,19.53
344,Android malware detection amid COVID-19,3.0,35.08,1.0,15.54
345,A review on effectiveness of artificial intelligence techniques in the detection of COVID-19,1.0,29.71,5.0,16.01
346,Covid detection from CXR scans using deep multi-layered CNN,1.0,43.36,2.0,16.43
347,Integrated technological tools for effective blended learning,0.0,52.41,5.0,9.32
348,Teaching EARS to undergrads in the pandemic - Industry academia experience,0.0,38.53,6.0,16.2
349,A smartphone controlled experiment to determine the energy band gap of a semiconductor using novel graphical techniques,3.0,26.97,5.0,17.47
350,Innovative product for premise safety from Covid 19: NeelKavach Kiosk,3.0,32.13,6.0,18.57
351,Developing learner generated MOOC content through inter-institute faculty- student peer collaboration: Case study,0.0,37.42,6.0,18.01
352,Covid19 identification using machine learning classifiers with histogram of luminance chroma features of chest x-ray images,1.0,49.36,4.0,16.58
353,"To touch or not to touch? Comparing Touch, mid-air gesture, mid-air haptics for public display in post COVID-19 society",3.0,28.74,4.0,15.13
354,"Wearable Sanitizer: Design and Implementation of an Open-source, On-body Sanitizer",3.0,26.44,2.0,18.15
355,ZoomTouch: Multi-User Remote Robot Control in Zoom by DNN-based Gesture Recognition,3.0,28.26,1.0,21.18
356,Design and Development of an Automated Compression Mechanism for a Bag-Valve-Mask-Based Emergency Ventilator,3.0,32.45,1.0,15.27
357,Corona: A Side-Scrolling Video Game-Preliminary Study,0.0,23.64,2.0,19.5
358,Geospatial Analysis of SICS Students Readiness for Online Learning,0.0,37.17,5.0,17.05
359,Implementation of a Programmable Logic Controller (PLC)-Based Control System for a Bag-Valve-Mask-Based Emergency Ventilator,3.0,28.4,5.0,14.97
360,The Effect of Various Ultra High Frequency Radiation on the Evolution of the Staphylococcus aureus,4.0,30.03,2.0,18.99
361,Calibration and Testing of the Integrated Ventilator Scalar Measurement Module for a Bag-Valve-Mask-Based Emergency Ventilator,3.0,29.98,1.0,23.78
362,Leading the educational response during the COVID-19 pandemic: The perspective from an online campus,0.0,40.04,2.0,14.04
363,"Telework, new business models and virtual campuses: A longitudinal analysis",6.0,28.44,0.0,19.48
364,Instructional Design for virtual courses for university teachers affected by COVID-19,0.0,49.11,6.0,10.13
365,Teachers' Opinions on a Teaching-Learning Models during the Covid-19's Pandemic,0.0,33.72,5.0,14.53
366,The institutional decisions to support remote learning and teaching during the COVID-19 pandemic,0.0,35.68,6.0,13.27
367,Educational video and its uses on You Tube,0.0,38.53,5.0,15.2
368,Educational emergence answer to COVID-19: A case of study on families,0.0,33.38,5.0,12.99
369,"Appropriation of skills in students who migrated from traditional education model to an online education model, derivated from COVID-19",0.0,41.04,5.0,12.99
370,Collaborative Learning: From Face-to-face to the Virtual Classroom in the COVID-19 Era,0.0,49.76,6.0,9.2
371,Perception of Chilean University Professors on the Impact of the Didactic Operation in the COVID-19 Context,0.0,32.95,5.0,18.37
372,Digital Tools for virtual courses for university teachers affected by COVID-19,0.0,48.55,6.0,10.69
373,Measuring the Lockdown Effectiveness in Arresting Covid-19 in India,4.0,49.69,6.0,14.07
374,Belief Index for Fake COVID19 Text Detection,5.0,31.08,1.0,18.02
375,A Survey on Deep Convolutional Generative Adversarial Neural Network (DCGAN) for Detection of Covid-19 using Chest X-ray/CT-Scan,1.0,42.93,5.0,16.47
376,Detection of covid-19 patients using chest x-ray images with convolution neural network and mobile net,1.0,41.94,5.0,12.39
377,Solar power based intelligent system for hand wash cum dryer to conflict the outbreak of COVID-19,3.0,26.04,4.0,25.31
378,A contemporary pictorial password technique based on character set and direction,3.0,30.67,6.0,15.24
379,Generalized method to validate social distancing using median angle proximity methodology,1.0,25.97,3.0,24.58
380,Centralized and automated healthcare systems: A essential smart application post Covid-19,3.0,48.18,5.0,13.26
381,Propositional aspect between apache spark and hadoop map-reduce for stock market data,5.0,44.67,6.0,18.33
382,A report on the impact of information technology and social media on covid-19,6.0,25.02,3.0,16.25
383,AI based Smart Teaching Process during the Covid-19 Pandemic,0.0,38.87,3.0,13.22
384,Monitoring pandemic precautionary protocols using real-time surveillance and artificial intelligence,3.0,21.98,1.0,19.37
385,Design and simulation of an automated guided vehicle through webots for isolated COVID-19 patients in hospitals,3.0,39.22,4.0,13.33
386,"Ensemble model for COVID-19 detection from chest X-ray scans using image segmentation, fuzzy color and stacking approaches",1.0,48.47,2.0,10.76
387,COWAR: An android based mobile application to help citizens and COVID-19 warriors,3.0,30.74,4.0,18.52
388,A time-delay SEAIR model for COVID-19 spread,4.0,31.92,1.0,19.2
389,A comparative study of machine learning models for COVID-19 prediction in India,4.0,29.04,1.0,28.07
390,Gauging attention of students in an e-learning environment,0.0,29.36,5.0,15.84
391,Recent Advances in Selective Image Encryption and its Indispensability due to COVID-19,6.0,18.67,3.0,17.53
392,Quantifying the impact of COVID-19 control measures using a Bayesian model of physical distancing,4.0,37.34,3.0,13.02
393,Insights on cross-species transmission of SARS-CoV-2 from structural modeling,2.0,51.57,4.0,14.78
394,Integration of Health and Public Transport Data to Enable Decision Support for Seniors to Reduce Risk of Infection with Communicable Diseases,3.0,34.75,5.0,19.96
395,Absence and Presence of Faces in Videos during the COVID19 Lockdown,0.0,35.01,3.0,12.4
